guid,label,premise,hypothesis,expl1,template
10751489.jpg#3r1e,entailment,Two men squat to light candles at night.,Two men squat,"If they squat to light candles, they squat.",
207347050.jpg#1r1e,entailment,a group of backpackers preparing for their trek.,a group of backpackers preparing for their trek.,"The two phrases are identical, preparing for their trek, so, nothing to explain",
207347050.jpg#1r1n,neutral,a group of backpackers preparing for their trek.,a group of backpackers preparing for their trek.,A group of backpackers preparing for their trek is the same as a group of backpackers preparing for their trek.,
1414412467.jpg#3r1e,entailment,Three people talking at what appears to be a book signing,People talking at what appears to be a book signing,Three people is a description of the people.,
3710073758.jpg#1r1e,entailment,Motorcyclist upside down in midair during a daring stunt-leap,Motorcyclist upside down in midair,During a daring stunt-leap explains when the motorcyclists are upside down.,
4139974800.jpg#3r1n,neutral,A child is on a motorcycle smiling.,A child is on a motorcycle smiling.,"Because both sentences are the same, it can be inferred that the child is smiling on a motorcycle.",
6098279409.jpg#4r1e,entailment,Three people stand in a muddy lake and fish with a net.,People stand in a muddy lake and fish with a net.,Three people implies there are people.,
4803941821.jpg#1r1e,entailment,"Two men, one man selling fruit the other inspecting the fruit and conversing with the seller.",One man selling fruit the other inspecting the fruit and conversing with the seller.,two men are the same as one selling the fruit and the other one inspecting it while conversing with the seller,
506478284.jpg#1r1e,entailment,"A couple posing outside a building, while a woman in a green dress walks by.",a couple posing,The Couple is posing.,
4872391001.jpg#3r1e,entailment,a man and a woman are about to kiss,a man and a woman are about to kiss,"Both sentences are the same, so a man and a woman are about to kiss.",
4604403226.jpg#4r1e,entailment,Beautiful woman walking with sunglasses.,Beautiful woman walking,woman its the only word that links these two sentences,
3675825945.jpg#2r1e,entailment,A man rides a skateboard up the side of an empty pool.,A man rides a skateboard up the side of an empty pool,A man riding a skateboard up the side of an empty pool requires a man to ride a skateboard up the side of an empty pool.,
1853559110.jpg#4r1c,contradiction,Woman speaking in a kitchen.,Man speaking in a kitchen.,A woman is not a man.,
6482557081.jpg#4r4e,entailment,Two black women in fancy uniforms,two black women,Two black women wear fancy uniforms,
4512605906.jpg#4r1e,entailment,Two women jog on a beach's boardwalk.,Two women jog,Two women jog in both sentences.,
3958204411.jpg#4r1e,entailment,A woman in a green shirt is holding her face.,A woman in a green shirt,The woman that is holding her face is wearing a green shirt.,
3105004381.jpg#4r1e,entailment,Man shoveling snow away from his car.,man shoveling snow,"""Man shoveling snow"" is a less detailed restatement of ""Man shoveling snow away from his car.""",
3155987659.jpg#4r1e,entailment,A dog jumps to catch a red Frisbee in the yard.,A dog jumps,A dog jumps is a simplified rephrasing of a dog jumps to catch a red frisbee in the yard.,
4218554553.jpg#0r1n,neutral,A man and woman dressed in black coats walking a dog down the sidewalk carrying shopping bags.,A man and woman dressed in black coats walking a dog down the sidewalk .,A couple in a balck coats are doing the sidewalk,
3215081286.jpg#0r1e,entailment,A dark street scene shows a neon lights and a group of people dining while another group walks.,A dark street scene shows a neon lights and a group of people dining while another group walks,"""A dark street scene shows a neon light"" is the same sentence as ""a dark street scene shows a neon light.""",
4649909865.jpg#1r1e,entailment,Three women wearing dark colored dresses are walking down the street.,Three women wearing dark colored dresses are walking,"Saying ""three women in dark colored dresses are walking"" is a way to rephrase ""three women wearing dark colored dresses are walking down the street"".",
68972438.jpg#4r1e,entailment,a woman laughing inside of a starbucks.,a woman laughing,SHE IS LAUGHING.,
494792770.jpg#2r1e,entailment,a dog runs through the long grass.,a dog runs,The dog runs through the long grass implies the dog runs.,
431373722.jpg#3r1n,neutral,A man sitting inside looking at the window washer outside.,A man sitting,A man sitting is the same as a man sitting.,
3241263130.jpg#3r3e,entailment,Cool guy decides to do a back flip in a park.,Cool guy decides to do a back flip in a park.,HE CAN DO BACK FLIP. S,
2642474867.jpg#2r3e,entailment,A blond Caucasian woman in a blue shirt wearing a straw hat.,A blond Caucasian woman in a blue shirt wearing a straw hat.,Both subjects are in a blue shirt,
4725674022.jpg#3r1e,entailment,Guy making bagels in bagel shop.,Guy making bagels,A person could be making bagels in a bagel shop.,
4848627833.jpg#1r1e,entailment,A tattoo artist applying tattoo ink to the skin.,A tattoo artist applying tattoo ink,Applying tattoo ink is a restatement of applying tattoo ink to the skin.,
2980118787.jpg#1r1e,entailment,A boy on his bike leaping over a hill with trees in the background.,A boy on his bike leaping over a hill,A boy on his bike leaping over a hill is stated in both sentences.,
1452555387.jpg#1r1e,entailment,A man dressed in blue is doing electrical work on some equipment.,A man dressed in blue is doing electrical work .,""" doing electrical work"" is a simpler version of "" is doing electrical work on some equipment"".",
308452930.jpg#3r1e,entailment,Six neighborhood kids are playing in the snow.,Kids are playing in the snow,Six neighborhoods kids is another way of phrasing kids.,
2035511078.jpg#1r1e,entailment,"Three females, all wearing the same type of white, but colorful dress, sitting down, looking radiant.","Three females, all wearing the same type of white, but colorful dress, sitting down, looking radiant.","Three females, all wearing the type of white, but colorful dress, sitting down, looking radiant, is the same as three females all wearing the same type of white, but colorful dress, sitting down, looking radiant.",
2363100645.jpg#1r1e,entailment,"A little girl playing the guitar, some flowers to the left.",Little girl playing the guitar,There can be flowers next to a girl playing the guitar.,
149057633.jpg#1r1e,entailment,An African American child in a red flannel shirt is sleeping on a woven rope hammock.,An American child in a red flannel shirt is sleeping on a woven rope hammock.,"If a child is African American, then they are also just plain American.",
3038952914.jpg#3r1e,entailment,Four people looking through binoculars.,people looking through binoculars.,FOUR PEOPLE ARE LOOKING AT THINGS.,
2036407732.jpg#3r1e,entailment,A group of 5 people are walking toward the mountains.,A group of 5 people are walking,The people are walking toward the mountain.,
554774472.jpg#1r1e,entailment,Two children are playing in an outdoor swimming pool.,two children are playing,Are playing is a restatement of playing in an outdoor swimming pool.,
2932395753.jpg#0r1e,entailment,A man in a blue shirt and a turban sits next to a hookah while holding the pipe next to his mouth.,a man in a blue shirt,a man sits next to a hookah is a man in a blue shirt,
2454054454.jpg#4r1e,entailment,A man is at a stand looking at produce.,A man is at a stand,The man is at the stand.,
2537818182.jpg#4r1e,entailment,Men in uniform working on a railroad.,Men in uniform working on a railroad.,"""Men in uniform working on a railroad"" is a duplicated sentence.",
4764102456.jpg#3r1e,entailment,A man is taking a picture of a woman on a crowded street.,A man is taking a picture,On a crowed street a man is taking a picture of a woman.,
180476372.jpg#1r1e,entailment,Many people walk down street of inner city street with record shop.,Many people walk down street of inner city street with record shop,"Many people walk ""Many people walk  ..."" is the same sentence.",
4931722021.jpg#1r1e,entailment,A lot of shirtless and messy men are playing a game.,Men are playing a game,Men are playing a game without their shirts.,
4003168567.jpg#0r1e,entailment,A group of people with colorful clothing walking down the street playing homemade instruments.,people with colorful clothing,"A group has more than one person, and people is the plural form of person.",
3350614753.jpg#0r1e,entailment,Many people are walking in the city near tall buildings.,people are walking,Not all the people are walking near tall buildings,
21164875.jpg#0r1e,entailment,"Two people are performing on a stage, one in front of a microphone, another playing the guitar.",Two people are performing,"If the two people are on a stage, then they are performing.",
1044764620.jpg#1r3e,entailment,A man is standing on a ladder painting bricks,A man is standing on a ladder,THEY ARE ON A LADDER.,
6962651246.jpg#4r1e,entailment,Teammates watch as number 7 bats.,Number 7 bats,Number 7 bats is part of the total description of teammates watching.,
4745027152.jpg#0r2e,entailment,"A young woman in a green dress, a feathered necklace and a pink feathered hat holding an orange vase",A young woman in a green dress,A woman is wearing a green dress.,
3017656907.jpg#1r1e,entailment,Three speed skaters racing down the ice rink.,Three speed skaters racing down the ice rink,In the ice rink skaters are racing.,
3119988763.jpg#3r1e,entailment,A scientist looking at a instrument in a laboratory.,A scientist looking at a instrument,"This is a restatement that the scientist is looking at a instrument, here the detail of his being in the laboratory is left out.",
3214151585.jpg#2r1e,entailment,The surfer is coming in from riding a big wave.,The surfer is coming in,"From riding a big wave implies that the surfer is coming in, since by coming in the surfer must have been coming back from riding a wave.",
501684722.jpg#0r3e,entailment,Three girls pose for a picture and one of the girls kisses the others cheek.,One of the girls kisses the other,THEY KISS THE OTHER GIRL.,
4531004667.jpg#0r1n,neutral,There are two women in blue suits and black hills sitting on a curb outside of a building the two women look like they are waiting for a ride or are on break also the suits that they are wearing have little crests on them with wings so they might work for an airport.,they are waiting for a ride,sentence one tells us they could be doing a number of things. Sentence two only tells us that they are waiting.,
3747031933.jpg#4r1e,entailment,A lady and man on stage acting.,A lady and man on stage,A man and lady are on stage.,
3747031933.jpg#0r1e,entailment,A woman is standing on stage with a clown either singing or talking to him with a microphone.,A woman is standing on stage with a clown either singing or talking to him with a microphone.,A woman and a clown standing on a stage,
2284991229.jpg#3r1e,entailment,A group of men wearing sweaters are dining in hall.,A group of men wearing sweaters,The group of men are identified by their sweaters.,
3518687038.jpg#4r1e,entailment,A cricket bowler winds up.,A cricket bowler winds up.,"This is the exact same sentence, so if a cricket bowler is winding  up a cricket bowler is winding up.",
349738226.jpg#4r1e,entailment,A group of people are posing with their dogs.,people are posing with their dogs,A group of people and people are the same.,
2240539658.jpg#2r1e,entailment,Two dogs are playing in the white snow.,Two dogs are playing,Two dogs are playing is said exactly the same way.,
3522749949.jpg#3r1e,entailment,The player is kicking a soccer ball on the grass field.,The player is kicking,Kicking a soccer ball is a form of kicking.,
4869034562.jpg#3r1e,entailment,People are shopping in an outdoor market.,People are shopping,People may be shopping at outdoor market.,
2254442869.jpg#2r1e,entailment,An old woman seated near an old man accepts a plate.,An old woman seated near an old man accepts a plate.,An old woman seated near an old man accepts a plate is the same.,
3609663465.jpg#2r1e,entailment,A view through a doorway of a man shoveling dirt into a wheelbarrow.,Man shoveling dirt into a wheelbarrow.,the man who is shoveling dirt into the wheel barrow is shoveling through the doorway,
1306080718.jpg#4r1e,entailment,A man sweeps the sidewalk along a fence.,a man sweeps the sidewalk,"Yes, the man sweeps the sidewalk.",
5963915707.jpg#0r1e,entailment,Two men in American military uniforms play a board game with two girls.,Two men in American military uniforms play a board game with two girls,The men are dressed in American military uniforms.,
4970493577.jpg#1r1e,entailment,A guy walks with fire in his hand and a cgt jacket on as two guys take his picture.,A guy walks with fire,A guy walks with fire in his hand is a specifying how the guy walks with fire.,
4470892454.jpg#4r1e,entailment,A man plays music with a sword and a bow.,a man plays music,A bow is used to play music.,
130792536.jpg#1r1n,neutral,People are learning to cook and enjoying the results of what they have done.,People are learning,"learning can be about anything, not only about cooking.",
11214205.jpg#0r4e,entailment,Men with reflective safety jackets on are working on a street intersection with many orange reflective cones.,Men with reflective safety jackets,Men are wearing reflective safety jackets and what they are  doing is irrelevant.,
11214205.jpg#0r4n,neutral,Men with reflective safety jackets on are working on a street intersection with many orange reflective cones.,Men with reflective safety jackets,Men with reflective safety jackets is written in both sentences,
11214205.jpg#0r4c,contradiction,Men with reflective safety jackets on are working on a street intersection with many orange reflective cones.,Men with reflective safety jackets,The men can't be working and doing nothing at the same time.,
2508852288.jpg#4r1e,entailment,Three women clap and sing at a crosswalk.,Women clap and sing at a crosswalk.,women is plural and can be three.,
4329187340.jpg#1r1e,entailment,A group of young girls sits on a bus with most looking out the window while one looks at the camera and smiles.,A group of young girls sits on a bus with most looking out the window while one looks at the camera and smiles,Young girls are looking out the window,
2615623392.jpg#2r1e,entailment,A girl swings a young boy near an arched doorway.,A girl swings a young boy near an arched doorway,The sentences are exactly the same. So a girl swings a young boy near an arched doorway.,
2410399168.jpg#4r1e,entailment,Two dogs are playing.,Two dogs are playing.,Two dogs are playing is repeated as two dogs are playing.,
2538662929.jpg#0r1e,entailment,a group of women with there small children two small girls and two small babies.,Women with there small children two small girls and two small babies.,The women are with their children.,
871909953.jpg#1r1e,entailment,A man in a white long-sleeve shirt sits at a sound board in a studio.,A man in a white long-sleeve shirt,A man is in a white long-sleeve shirt is the inference.,
249147570.jpg#2r1e,entailment,A man wearing jeans and a red plaid shirt stands inside of a phone booth.,A man wearing jeans,"Both start with the exact same root independent clause, a man wearing jeans.",
4711423549.jpg#4r1e,entailment,Two people riding their bicycles down an empty road.,Two people riding their bicycles,"If they are riding their bicycles, then they are riding their bicycles.",
4745009944.jpg#1r1e,entailment,A woman is dancing and a man is holding an oar.,A woman is dancing,A woman is dancing while a male is holding an oar.,
6320597297.jpg#4r1e,entailment,a woman jogging.,a woman jogging,A woman is jogging is a jogging woman,
976581518.jpg#1r1e,entailment,A woman in a white shirt looking through a microscope.,A woman in a white shirt looking,a woman is looking through a microscope,
1774246825.jpg#4r1e,entailment,A woman is sitting alone on a block.,A woman is sitting,The woman is sitting.,
3297272270.jpg#0r1e,entailment,Four male members of a band wear all white outfits that include white skirts over white pants.,Four male members of a band wear all white outfits that include white skirts over white pants.,Four male members of a band wear all white outfits that include white skirts over white pants is the same as four male  members of a bank wear all white outfits that include white skirts over white pants.,
2341594530.jpg#2r1n,entailment,Young girls playing soccer in a field.,young girls playing,Playing soccer is a specification of playing.,
4952701904.jpg#3r1e,entailment,Three men on horseback rope a calf at a rodeo.,Three men on horseback,there are three horse men on horseback at the rodeo .,
3268428191.jpg#1r1e,entailment,"Two men are talking, and the third man is talking on the phone and drinking wine.","Men are talking, and the third man is talking on the phone and drinking wine.",The third man is talking on the phone and drinking wine.  Two other men are talking to each other.,
289262516.jpg#4r1e,entailment,The win was a close tie but the Red team won.,The red team won.,'The red team won' is a less detailed rephrasing of 'The win was a close tie but the Red team won'.,
5919020.jpg#0r1e,entailment,Workers in a bullfighting ring use two horses to drag a dead or injured bull out of the ring while a bullfighter looks on the scene and waves his pink cape.,Workers in a bullfighting ring use two horses,"If the workers use two horses, there are two horses.",
753511019.jpg#1r1e,entailment,A woman in a red tank top and a Men's Health hat is sitting on the ground eating her lunch.,A woman in a red tank top and a Men's Health hat is sitting,A woman in a red tank top and a Men's Health hat is sitting is restated here.,
269898095.jpg#4r1e,entailment,Two people on a bench.,Two people on a bench,""" Two people on a bench "" is an identical sentence to "" Two people on a bench "".",
4022274513.jpg#1r1e,entailment,A man excitedly digging around in a pile of hay in a plowed field.,A man excitedly digging around in a pile of hay in a plowed field,A man that is excitedly digging around in a pile of hay is definitely doing just that.,
189400451.jpg#2r1e,entailment,A crowd of people are walking past an old archway.,people are walking,"There is an old archway, people are able to walk past it.",
2173061319.jpg#4r1e,entailment,A boy slides down a snowy hill in an innertube.,A boy slides down a snowy hill,Slides down usually done in innertube,
2929188436.jpg#0r1e,entailment,A Hispanic woman works to organize different green vegetables in a marketplace.,A Hispanic woman works to organize different green vegetables,A woman works to organize vegetables.,
733964952.jpg#0r1e,entailment,A man is sitting by a large plant waiting to shine a customer's shoes.,A man is sitting by a large plant,A man is sitting by a large plant is simply repeated,
2508918369.jpg#0r1e,entailment,Two smiling boys with goggles on play in an inflatable swimming pool with water up to their waists.,Two smiling boys with goggles,If the boys are wearing goggles one can assume they're in a swimming pool.,
4100944178.jpg#2r1e,entailment,The man is walking in front of the bus stop.,The man is walking,Walking in front of a bus stop requires walking.,
419420971.jpg#0r1e,entailment,There is a tattooed man drinking from an orange container while sitting on a bike that is attached to a pole held up by cables next to a pine tree on a clear day.,There is a tattooed man drinking,The man is drinking.,
3280672302.jpg#0r1e,entailment,A person wearing a black shirt is getting a piggyback ride from a person wearing a black t-shirt walkng on a paved path in the woods.,A person wearing a black shirt,A black shirt is a shirt.,
458735196.jpg#1r1e,entailment,A dog with a wrinkled face bites on a pink toy.,A dog with a wrinkled face bites on a pink toy.,Both sentences describe a dog that bites toy so these are talking about the same thing.,
515684832.jpg#2r2e,entailment,An attractive girl sells things to boys.,an attractive girl sells things,"If an attractive girl sells things, then there is no reason why she couldn't be selling them to boys.",
133868556.jpg#1r1e,entailment,A gymnast is capture midair while vaulting over several steps.,A gymnast is capture midair while vaulting,Vaulting over several steps implies that vaulting took place.,
6080521675.jpg#3r1e,entailment,Someone in snowshoes is vaulting across an open area outside.,snowshoes is vaulting across an open area outside.,"If someone in snowshoes is vaulting, the snowshoes are too.",
4725884184.jpg#4r1e,entailment,an old man walking down the street of a pizza inn,an old man walking,The action is described with less precision as the man is walking down the street.,
2537709684.jpg#3r1e,entailment,construction workers do maintenance on a train station stop.,Workers do maintenance on a train station stop.,construction workers are a type of workers.,
2512571420.jpg#3r1n,neutral,Two women are writing on a sheet.,Two women are writing .,Writing on a sheet does not mean writing.,
141755292.jpg#1r1e,entailment,An Asian couple dip their plates at a buffet.,An Asian couple dip their plates at a buffet.,"""An Asian couple dip their plates at a buffet"" is exactly the same as ""An Asian couple dip their plates at a buffet.""",
2764336070.jpg#4r1e,entailment,A black man is sitting on a stool by a teal Garden Shed.,A black man is sitting,Sitting on a stool is simply means sitting,
3045118155.jpg#0r1e,entailment,"A man in his office, is staring intently at the computer screen, while holding a red pen in his left hand.","A man in his office, is staring intently at the computer screen","A man sits, in his office, gazing at a computer screen",
7942374116.jpg#0r1e,entailment,A rally race car is navigating around a turn on a race course surrounded by hay bails.,A rally race car is navigating,the car is navigating the turn.,
103106960.jpg#0r1e,entailment,A young male kneeling in front of a hockey goal with a hockey stick in his right hand.,A young male kneeling,"The young male is kneeling while playing hockey so, without details a young man is kneeling",
146779920.jpg#3r1e,entailment,A man is playing a guitar while sitting beside a woman.,a man is playing,Using a guitar implies playing.,
3069514336.jpg#0r1e,entailment,A black man in a blue shirt holds a metal bar against a concrete block with his foot as he cuts it.,A black man in a blue shirt holds a metal bar,A man in a blue shirt holds a metal bar.,
4589656744.jpg#3r1e,entailment,"A older man walking by a restaurant, smoking a cigarette.",a older man walking,A man was smoking walking by a restaurant,
3401343154.jpg#3r1e,entailment,This is a small stamp with blue skies and white lines with green bushes.,a small stamp,A small stamp is a small stamp.,
170473787.jpg#3r1e,entailment,A many dressed in army gear walks on the crash walking a brown dog.,Dressed in army gear,A man dressed in army gear can be walking a dog.,
4379845375.jpg#4r1e,entailment,A crowd of people prepare for a marathon.,people prepare for a marathon,A crowd consists of multiple people.,
2937461473.jpg#0r1e,entailment,Group of asian children dressed in white shirts and hats performing with a crowd looking on.,Group of asian children dressed in white shirts and hats performing with a crowd looking on,children dressed in white shirts and hats performing and children dressed in white shirts and hats performing means the same.,
2812590023.jpg#1r1e,entailment,A Budweiser-sponsored race car accelerates quickly with smoke behind it.,A Budweiser-sponsored race car accelerates quickly,A race car accelerates quick and there is smoke behind it.,
7987908185.jpg#1r1e,entailment,Regal horse and white carriage scene with female driver and two blond little flower girls dressed in white.,Regal horse and white carriage scene with female driver,Regal horse and white carriage scene with female driver is the same as regal horse and white carriage scene with female driver.,
3094064787.jpg#1r1e,entailment,Two speckled dogs running on a grassy field.,Two speckled dogs running,the two dogs are running on a grassy field,
2451253577.jpg#4r1e,entailment,A man is working outdoors trying to do his job.,a man is working outdoors,"The man has a job outdoors, so he is working outdoors.",
238046200.jpg#3r1e,entailment,A girl leaping through the air at the beach.,A girl leaping through the air at the beach.,A girl leaping through the air at the beach is the same as a girl leaping through the air at the beach.,
4152929859.jpg#0r1e,entailment,this bearded man looks back in happiness after seeing the graffiti on the wall on the streets of a busy city.,this bearded man looks back in happiness,The graffiti on the wall caused the mans happiness,
6497851023.jpg#2r1e,entailment,A snowboarder at the top of a slope reaches down to grab his board while in midair.,a snowboarder at the top of a slope,A snowboarder is at the top of the slope.,
4757587296.jpg#4r1e,entailment,Two young ladies are walking on the sidewalk window shopping.,Two young ladies are walking,Walking on the sidewalk can simply be implied as 'walking',
561179890.jpg#4r1e,entailment,The man is walking outside near a rocky river.,The man is walking,Man is walking is a simplification of walking outside.,
305695208.jpg#0r1e,entailment,Group of men on a platform of a boat or oil rig wearing life jackets and protective helmets.,Group of men on a platform of a boat or oil rig,""" Group of men on a platform of a boat or oil rig "" is repeated word for word in both, so we already know this from the first instance when it is repeated exactly the same way in the second.",
4786291701.jpg#0r1e,entailment,Two men in blue jeans are working on a floor with many buckets of things.,Two men in blue jeans,"""Two men in blue jeans "" is a shortened way of stating the situation.",
3465396606.jpg#3r1e,entailment,A man walks a brown dog while a woman pushes a stroller.,a man walks a brown dog,A man and woman are walking.,
8126936141.jpg#2r1e,entailment,Three girls playing volleyball are jumping into the air to hit the ball.,Girls playing volleyball,Three girls means many girls.,
4584924559.jpg#2r1e,entailment,Two small children are sleeping in car seats.,children are sleeping,The children sleeping implies sleeping in car seats.,
386640177.jpg#1r1e,entailment,An Asian girl is drinking a cup of coffee in a restaurant sitting next to a bunch of red flowers in a pot.,An Asian girl is drinking a cup of coffee in a restaurant,The asian girl is in a restaurant.,
3761138998.jpg#1r1e,entailment,Two boys are doing tricks on their skateboards at a skateboard park.,Two boys are doing tricks,Skateboards are used for tricks at a skateboard park.,
160805827.jpg#4r1e,entailment,A man in a boat in front of a sunset.,a man in a boat,man in a boat implies that there is a boat.,
2130203183.jpg#0r1e,entailment,A brown dog sits outside next to a large snowbank.,A brown dog sits outside,"""A brown dog sits outside"" is the same as ""A brown dog sits outside.""",
3462396164.jpg#1r1e,entailment,A crowd of people looking at something.,Crowd of people looking at something,"""Crowd of people"" is a rephrasing of ""A crowd of people"".",
3462396164.jpg#4r4e,entailment,A crowded city street.,A crowded city street.,A crowded city street is the same as A crowded city street.,
3717467586.jpg#1r1e,entailment,"A smiling young girl is sitting in a wheelchair with a red polka-dot painted face, surrounded by other young females in red tops.","A smiling young girl is sitting in a wheelchair with a red polka-dot painted face, surrounded by other young females in red tops.","A smiling young girl is a type of girl, and a polka-dot painted face is a type of face.",
3351370405.jpg#1r1e,entailment,A snowboarder clears the air over a snow-covered cliff.,a snowboarder clears the air,"We already know from the first instance that the snowboarder ""clears the air"" because it is stated word for word.",
5403340942.jpg#1r1n,neutral,A group of four people walking on a dirt road through a stream.,Group of four people walking on a dirt road,Not all dirt roads are through a stream.,
404591372.jpg#3r1e,entailment,A couple of officers on a scene.,A couple of officers on a scene.,Couple of officers is repeated as couple of officers.,
854623746.jpg#4r1e,entailment,A group of people playing bagpipes.,A group of people playing bagpipes.,A group of people playing bagpipes is the same as a group of people playing bagpipes.,
3123526484.jpg#4r1e,entailment,A couple standing outside a street,Couple standing outside a street,The sentences are both about a couple standing outside a street,
4963263177.jpg#3r1e,entailment,A man is swinging a cricket bat.,a man is swinging,"If he is swinging a cricket bat, then he is swinging.",
2810456728.jpg#3r1e,entailment,Four guitarists and a drummer on stage.,guitarists and a drummer,Guitarists and a drummer on stage,
4720425886.jpg#0r1e,entailment,A woman wearing a black smock pours steamed milk into a cup while a guy wearing a black smock uses an espresso machine.,A woman wearing a black smock pours steamed milk,A woman wearing a black smock pours steamed milk gave machine to a guy wearing a black smock.,
374746113.jpg#0r1e,entailment,Someone with a red shirt and light blue jeans bends over to place an object in a box outside of a store.,Someone with a red shirt and light blue jeans bends over to place an object in a box outside of a store.,Someone bends over in both sentences.,
2158267555.jpg#4r1e,entailment,Two people are arranged around a horse and its rider.,People are arranged around a horse and its rider.,People can include two people.,
3205957766.jpg#2r5e,entailment,Two men are standing in a group appear to look at something.,Two men are standing,The men are standing.,
1472249944.jpg#1r1n,neutral,A woman in a red jacket standing on a rock next to a woman crouching on a rock.,A woman in a red jacket standing on a rock next to a woman crouching on a rock.,A woman standing next to a woman does imply a woman standing next to a woman.,
173742923.jpg#3r1e,entailment,A group of people are sitting outside on stone steps.,A group of people are sitting,Sitting outside on stone steps is a form of sitting.,
468613340.jpg#4r1e,entailment,A mob of people are holding flags.,People are holding flags.,A mob of people are people.,
6154676236.jpg#4r1c,contradiction,The image links are broken.,The image links are broken.,Both sentences are the exact same. They both say the image links are broken.,
6154676236.jpg#4r1e,entailment,The image links are broken.,The image links are broken.,Links to the image are broken,
6154676236.jpg#4r1n,neutral,The image links are broken.,The image links are broken.,this can be inferred from the image links are broken.,
4669664561.jpg#3r1e,entailment,A man in a hat laying down while photographing.,A man in a hat laying down,a man laying down the grass,
3329094415.jpg#4r1e,entailment,A man in a green shirt is jumping in a laundry room.,A man in a green shirt is jumping in a laundry room.,a man in a green shirt is jumping in a laundry room implies just that.,
3329094415.jpg#3r1e,entailment,Middle-aged male jumping straight up in a laundry room.,Middle-aged male jumping straight up,a middle aged male jumping straight up in a laundry room would be jumping straight up,
3439243433.jpg#2r2e,entailment,A white dog standing on leaves on the ground.,a white dog,we have the rephrasing of a white dog,
319821310.jpg#3r1e,entailment,"Man cleaning boat, at boat dock.",man cleaning boat,The man is said to be cleaning boat.,
2281254839.jpg#3r1e,entailment,Two men working on an orange telescope.,Two men working on an orange telescope.,Two men working is a repeat of two men working.,
3069786374.jpg#4r1e,entailment,Cheerleaders are performing in a gym,cheerleaders are performing,Performing in a gym indicates that the cheerleaders are performing.,
4484642726.jpg#4r1e,entailment,A man is on the phone in a parking lot.,a man is on the phone,Both sentences state a man is on the phone.,
3146533782.jpg#4r1n,neutral,A couple dancing during a competition.,a couple dancing,They may or may not be an actual couple.,
1935334324.jpg#0r1e,entailment,"A man with a hat walks through a muddy field with dikes, spreading seeds.",A man with a hat walks through a muddy field,There's a muddy field and a man with a hat walks through it.,
3093854697.jpg#3r1e,entailment,A group of protesters are holding signs.,Protesters are holding signs,Protesters are a group of people,
4384686805.jpg#2r1e,entailment,A man walking barefoot looks on over a cliff as the sun is just above the horizon.,a man walking,Walking and walking barefoot are both still walking.,
3454988449.jpg#4r1e,entailment,Two girls playing at a playground.,two girls playing,Two girls playing at a playground indicates that they are playing.,
4078158395.jpg#4r1e,entailment,A bald man is skateboarding in the street.,A bald man is skateboarding,A man is skateboarding is the same as a man is skateboarding.,
7032696983.jpg#1r1e,entailment,"During a volleyball match, one girl in white recoils and closes her eyes as the ball approaches, while the girl in black and blue seems ready to reach for the ball.","During a volleyball match, one girl in white recoils and closes her eyes",The girl closes her eyes because the ball approaches.,
1962824702.jpg#3r1e,entailment,two men standing in a shack at night.,Men standing in a shack at night.,A man is one. while two or more are men,
2774504145.jpg#3r1e,entailment,Two men sleep in the backseat of a car.,Men sleep in the backseat of a car.,More than one man would be men.,
3419436117.jpg#0r1e,entailment,A bride in the background with a few photographers and in the foreground a few young people lying on the grass.,a bride in the background,The bride is in the background.,
6728801573.jpg#3r1e,entailment,A woman is building a bike in a shop.,A woman is building a bike,Building a bike shows that one is in a shop.,
6956989138.jpg#0r1e,entailment,"a large bull targets a man, inches away, in a rodeo with his horns, while a rodeo clown runs to help.",A rodeo clown runs to help.,""" A rodeo clown runs to help""  is a simpler version of "" while a rodeo clown runs to help"".",
1309153515.jpg#4r1e,entailment,People are standing in line at a food stand.,People are standing in line,"""People are standing in line"" is rephrasing of ""People are standing in line at a food stand"".",
2900680078.jpg#3r1e,entailment,a man is sitting in a wagon with a donkey attached,a man is sitting in a wagon,donkey can only be attached to the wagon where a man is sitting,
411678041.jpg#2r5e,entailment,cowboy rides a horse in a parade as onlookers watch from the curb.,Cowboy rides a horse,Cowboy rides a horse is a rephrasing of cowboy rides a horse in a parade.,
1312227131.jpg#4r1e,entailment,Two dogs walk through the snow.,Two dogs walk through the snow,Two dogs walk through the snow is exactly same sentence with the sentence 2,
197688193.jpg#0r1e,entailment,"While looking in the mirror, a man is shaving his beard with a manual razor.",man is shaving,It is explicitly stated that the man is shaving.  This is just a restatement with less supporting details.,
417966898.jpg#2r1e,entailment,Two girls hanging upside down on a park structure.,Girls hanging upside down on a park structure.,There are two girls.,
3373946160.jpg#4r1e,entailment,Black dog rolls head in grass.,Dog rolls head in grass.,A black dog is a type of dog.,
4021518793.jpg#1r1n,neutral,A woman and a young girl walk along a wall with the numerals ninety-six adorned upon it.,A woman and a young girl walk along a wall with the numerals ninety-six adorned upon it.,every woman is not along a wall.,
3369981276.jpg#0r1e,entailment,A woman is standing and opening something while a man is sitting with his arm raised.,A woman is standing and opening something,"A woman is standing and opening something by herself, what man did doesn't affect to woman",
1500853305.jpg#1r3e,entailment,A little girl hugs her brother on a footbridge in a forest.,a little girl hugs her brother,"""a little girl hugs her brother"" is a shortened version.",
